SESSION_NAME,STEP_NAME,NUM_FILES_PRODUCED,NUM_FILES_PRODUCED_ORIG,THIS_TIME,STARTINGTIME
ICH_0178_CT_20170923,infarct_biomarker,46,45,2024-05-02 20:02:48+00:00,2024-05-02 19:26:18
ICH_0132_CT_20170729,infarct_biomarker,32,31,2024-04-27 01:35:57+00:00,2024-04-26 19:26:18
ICH_0010_CT_20170112,infarct_biomarker,1,0,2024-01-16 15:31:42+00:00,2024-01-15 19:26:18
ICH_0002_CT_20170103,infarct_biomarker,763,1106,2024-04-28 02:25:13+00:00,2024-04-27 19:26:18
ICH_0233_CT_20171207,infarct_biomarker,497,496,2024-04-28 19:27:50+00:00,2024-04-28 19:26:18
ICH_0001_CT_20170101,infarct_biomarker,26,25,2024-02-07 15:41:28+00:00,2024-02-06 19:26:18
ICH_0185_CT_20171009,infarct_biomarker,182,188,2024-04-29 21:04:52+00:00,2024-04-29 19:26:18
ICH_0241_CT_20171218_part1,infarct_biomarker,57,102,2024-05-02 12:02:38+00:00,2024-05-01 19:26:18
ICH_0198_CT_20171021,infarct_biomarker,13,12,2024-04-30 19:32:18+00:00,2024-04-30 19:26:18
ICH_0409_CT_20180928,postprocessing,76,77,2023-04-25 20:14:24+00:00,2023-04-25 19:26:18
ICH_0338_CT_20180520,postprocessing,112,111,2023-04-24 19:27:25+00:00,2023-04-24 19:26:18
ICH_0064_CT_20170409_part2,postprocessing,106,108,2023-04-23 20:02:18+00:00,2023-04-23 19:26:18
ICH_0648_CT_20191102,postprocessing,2,1,2023-12-08 20:17:30+00:00,2023-12-08 19:26:18
ICH_0142_CT_20170804,postprocessing,107,106,2023-04-21 19:33:54+00:00,2023-04-21 19:26:18
ICH_0198_CT_20171024,postprocessing,2,1,2023-12-12 14:34:41+00:00,2023-12-11 19:26:18
ICH_0388_CT_20180817,postprocessing,104,105,2023-04-20 19:41:49+00:00,2023-04-20 19:26:18
ICH_0023_CT_20170130,postprocessing,83,83,2023-04-19 20:09:44+00:00,2023-04-19 19:26:18
ICH_0033_CT_20170214,postprocessing,7,8,2023-12-18 21:33:20+00:00,2023-12-18 19:26:18
ICH_0685_CT_20191230,postprocessing,2,1,2023-12-19 19:59:16+00:00,2023-12-19 19:26:18
ICH_0014_CT_20170117,postprocessing,108,111,2023-04-30 23:19:02+00:00,2023-04-30 19:26:18
ICH_0501_CT_20190131,postprocessing,15,14,2023-04-26 19:34:18+00:00,2023-04-26 19:26:18
ICH_0148_CT_20170814,postprocessing,131,130,2023-04-22 19:36:54+00:00,2023-04-22 19:26:18
ICH_0385_CT_20180815,postprocessing,35,34,2023-04-18 20:02:59+00:00,2023-04-18 19:26:18
ICH_0485_CT_20190106,postprocessing,4,3,2023-05-01 20:18:17+00:00,2023-05-01 19:26:18
ICH_0002_CT_20170101,postprocessing,1,0,2023-02-23 22:26:11+00:00,2023-02-23 19:26:18
ICH_0022_CT_20170127,postprocessing,4,31,2023-04-18 12:01:10+00:00,2023-04-17 19:26:18
ICH_0003_CT_20170104,postprocessing,2,1,2023-02-28 17:49:07+00:00,2023-02-27 19:26:18
ICH_0426_CT_20181025,postprocessing,5,4,2024-04-20 03:16:22+00:00,2024-04-19 19:26:18
ICH_0100_CT_20170525,postprocessing,198,197,2024-04-18 19:31:38+00:00,2024-04-18 19:26:18
ICH_0697_CT_20200113,postprocessing,85,84,2023-02-22 19:37:40+00:00,2023-02-22 19:26:18
ICH_0007_CT_20170109,postprocessing,1,1,2023-03-21 08:07:09+00:00,2023-03-20 19:26:18
ICH_0007_CT_20170110,postprocessing,1,0,2024-04-28 02:15:27+00:00,2024-04-27 19:26:18
ICH_0156_CT_20170820,postprocessing,163,290,2023-02-21 06:04:56+00:00,2023-02-20 19:26:18
ICH_0058_CT_20170324,postprocessing,10,207,2024-04-18 18:41:05+00:00,2024-04-17 19:26:18
ICH_0025_CT_20170201,postprocessing,1,0,2023-03-22 07:52:10+00:00,2023-03-21 19:26:18
ICH_0001_CT_20170101,postprocessing,2,1,2024-04-29 22:44:32+00:00,2024-04-29 19:26:18
ICH_0027_CT_20170203,postprocessing,1,0,2024-04-15 21:10:25+00:00,2024-04-15 19:26:18
ICH_0184_CT_20171010,postprocessing,1,0,2024-02-13 16:09:54+00:00,2024-02-12 19:26:18
ICH_0039_CT_20170223,postprocessing,254,253,2023-02-21 19:26:32+00:00,2023-02-21 19:26:18
ICH_0815_CT_20200714_part1,preprocessing,8,7,2023-05-16 19:29:24+00:00,2023-05-16 19:26:18
ICH_0099_CT_20170525,preprocessing,1,0,2023-05-18 00:00:09+00:00,2023-05-17 19:26:18
ICH_0033_CT_20170214,preprocessing,67,67,2023-05-15 20:28:37+00:00,2023-05-15 19:26:18
ICH_0184_CT_20171010,preprocessing,1,0,2024-02-13 15:56:52+00:00,2024-02-12 19:26:18
ICH_0273_CT_20180210,preprocessing,2,1,2023-11-11 05:59:32+00:00,2023-11-10 19:26:18
ICH_0267_CT_20180202,preprocessing,27,48,2023-11-29 16:42:17+00:00,2023-11-28 19:26:18
ICH_0100_CT_20170525,preprocessing,3,2,2023-12-14 16:33:19+00:00,2023-12-13 19:26:18
ICH_0183_CT_20171010,preprocessing,100,100,2023-12-17 05:24:17+00:00,2023-12-16 19:26:18
ICH_0813_CT_20200710,preprocessing,1,0,2023-12-17 19:58:26+00:00,2023-12-17 19:26:18
ICH_0444_CT_20181125,preprocessing,2,1,2024-04-17 01:56:17+00:00,2024-04-16 19:26:18
ICH_0268_CT_20180203,preprocessing,1,0,2023-11-07 19:00:49+00:00,2023-11-06 19:26:18
ICH_0291_CT_20180303,preprocessing,22,21,2023-11-30 04:19:35+00:00,2023-11-29 19:26:18
ICH_0001_CT_20170102,preprocessing,212,256,2023-02-17 21:48:58+00:00,2023-02-17 19:26:18
ICH_0721_CT_20200222,preprocessing,33,34,2023-04-19 19:54:42+00:00,2023-04-19 19:26:18
ICH_0419_CT_20181022,preprocessing,93,93,2023-04-17 19:30:07+00:00,2023-04-17 19:26:18
ICH_0813_CT_20200711,preprocessing,10,9,2023-04-20 19:29:16+00:00,2023-04-20 19:26:18
ICH_0634_CT_20191010,preprocessing,16,91,2023-04-17 15:56:50+00:00,2023-04-16 19:26:18
ICH_0396_CT_20180909,preprocessing,3,2,2023-04-21 21:26:44+00:00,2023-04-21 19:26:18
ICH_0478_CT_20181226,preprocessing,3,2,2023-04-23 00:20:12+00:00,2023-04-22 19:26:18
ICH_0687_CT_20200104,preprocessing,1,0,2023-04-24 15:05:56+00:00,2023-04-23 19:26:18
ICH_0007_CT_20170109,preprocessing,1,0,2023-03-21 07:50:41+00:00,2023-03-20 19:26:18
ICH_0479_CT_20181226,preprocessing,76,75,2023-04-18 19:29:19+00:00,2023-04-18 19:26:18
ICH_0286_CT_20180226,preprocessing,1,0,2023-04-26 00:27:02+00:00,2023-04-25 19:26:18
ICH_0125_CT_20170717,preprocessing,5,4,2023-02-21 19:39:35+00:00,2023-02-21 19:26:18
ICH_0606_CT_20190909,preprocessing,161,160,2023-02-20 19:26:22+00:00,2023-02-20 19:26:18
ICH_0775_CT_20200514,preprocessing,417,417,2023-02-19 19:33:40+00:00,2023-02-19 19:26:18
ICH_0689_CT_20200107,preprocessing,357,356,2023-02-18 19:27:18+00:00,2023-02-18 19:26:18
ICH_0002_CT_20170101,segmentation,1,0,2023-02-23 22:11:20+00:00,2023-02-23 19:26:18
ICH_0001_CT_20170101,segmentation,1,0,2023-02-21 21:09:03+00:00,2023-02-21 19:26:18
ICH_0545_CT_20190517,segmentation,130,133,2023-04-17 19:48:03+00:00,2023-04-17 19:26:18
